sequence_number,V_allele,D_allele,J_allele
0,ighv1-2*06,ighd6-19*01,ighj5*02
1,ighv1-18*03,ighd6-25*01,ighj4*02
2,ighv1-69d*01,ighd6-13*01,ighj3*02
3,ighv4-59*11,ighd2-15*01,ighj4*03
4,ighv1-18*03,ighd1-7*01,ighj1*01
5,ighv1-8*01,ighd6-25*01,ighj5*02
6,ighv2-70*10,ighd6-25*01,ighj5*02
7,ighv1-3*02,ighd6-25*01,ighj6*04
8,ighv2-70d*04,ighd3-3*02,ighj4*03
9,ighv2-26*02,ighd3-10*02,ighj5*01
10,ighv1-69*09,ighd1-20*01,ighj4*02
11,ighv1-8*02,ighd4-17*01,ighj4*03
12,ighv1-45*01,ighd5-5*01,ighj3*02
13,ighv2-5*01,ighd3-3*01,ighj4*02
14,ighv2-70d*04,ighd1-7*01,ighj6*01
15,ighv1-18*03,ighd3-9*01,ighj6*04
16,ighv1-58*02,ighd2-21*02,ighj2*01
17,ighv1-3*02,ighd5-5*01,ighj5*02
18,ighv3-9*01,ighd6-25*01,ighj4*02
19,ighv2-26*03,ighd6-25*01,ighj6*04
20,ighv1-24*01,ighd2-2*02,ighj6*04
21,ighv5-10-1*03,ighd3-9*01,ighj5*02
22,ighv2-5*01,ighd1-1*01,ighj4*02
23,ighv3-9*02,ighd6-6*01,ighj3*02
24,ighv2-70d*04,ighd5-5*01,ighj4*03
25,ighv1-69-2*01,ighd3-9*01,ighj6*04
26,ighv1-8*01,ighd4-17*01,ighj6*04
27,ighv1-3*03,ighd3-3*02,ighj6*01
28,ighv4-61*08,ighd3-22*01,ighj4*03
29,ighv1-24*01,ighd6-19*01,ighj4*02
30,ighv1-8*01,ighd3-10*01,ighj4*02
31,ighv1-18*03,ighd1-1*01,ighj3*01
32,ighv3-43*02,ighd3-22*01,ighj5*02
33,ighv4-34*10,ighd2-8*02,ighj3*02
34,ighv1-18*04,ighd6-13*01,ighj4*03
35,ighv6-1*01,ighd3-9*01,ighj4*02
36,ighv2-70d*14,ighd6-19*01,ighj4*02
37,ighv1-8*02,ighd2-21*02,ighj3*02
38,ighv2-5*01,ighd5-5*01,ighj6*04
39,ighv7-4-1*02,ighd6-19*01,ighj4*02
40,ighv4-61*02,ighd2-21*01,ighj4*02
41,ighv1-46*04,ighd1-26*01,ighj3*02
42,ighv2-26*02,ighd3-16*02,ighj6*01
43,ighv3-62*04,ighd5-5*01,ighj4*03
44,ighv4-59*01,ighd3-16*01,ighj4*02
45,ighv2-5*02,ighd5-18*01,ighj1*01
46,ighv4-38-2*02,ighd2-21*02,ighj4*03
47,ighv1-69-2*01,ighd4-17*01,ighj5*01
48,ighv1-69*09,ighd3-22*01,ighj6*04
49,ighv1-18*03,ighd4-17*01,ighj4*02
50,ighv3-30-5*02,ighd6-6*01,ighj4*03
51,ighv3-30-5*01,ighd3-3*01,ighj4*02
52,ighv1-58*02,ighd3-10*02,ighj6*01
53,ighv1-3*03,ighd2-15*01,ighj5*01
54,ighv1-45*01,ighd6-19*01,ighj5*01
55,ighv6-1*02,ighd2-15*01,ighj5*01
56,ighv1-18*03,ighd5-18*01,ighj4*02
57,ighv6-1*02,ighd1-1*01,ighj4*03
58,ighv1-18*03,ighd3-10*01,ighj6*04
59,ighv3-11*06,ighd3-10*02,ighj4*03
60,ighv2-5*02,ighd1-26*01,ighj3*02
61,ighv3-13*05,ighd5-18*01,ighj5*01
62,ighv6-1*02,ighd2-2*01,ighj4*03
63,ighv1-2*07,ighd6-6*01,ighj6*01
64,ighv6-1*01,ighd3-16*01,ighj4*02
65,ighv1-3*02,ighd5-18*01,ighj6*04
66,ighv3-23*04,ighd3-22*01,ighj4*03
67,ighv1-8*01,ighd2-2*02,ighj4*02
68,ighv1-69*14,ighd3-22*01,ighj2*01
69,ighv3-15*06,ighd1-20*01,ighj6*01
70,ighv1-24*01,ighd6-6*01,ighj4*02
71,ighv1-46*04,ighd3-22*01,ighj4*03
72,ighv1-69*14,ighd3-10*02,ighj4*03
73,ighv5-10-1*04,ighd3-16*02,ighj5*01
74,ighv3-21*06,ighd6-19*01,ighj4*03
75,ighv2-5*01,ighd3-9*01,ighj4*02
76,ighv2-26*02,ighd3-10*02,ighj4*03
77,ighv2-70*10,ighd3-3*01,ighj4*02
78,ighv1-58*02,ighd3-22*01,ighj4*03
79,ighv1-2*06,ighd3-22*01,ighj3*01
80,ighv1-8*02,ighd2-8*02,ighj6*01
81,ighv3-nl1*01,ighd6-13*01,ighj4*03
82,ighv3-20*04,ighd3-9*01,ighj4*02
83,ighv5-51*07,ighd2-21*02,ighj5*01
84,ighv3-72*01,ighd3-10*01,ighj4*02
85,ighv1-3*02,ighd3-10*01,ighj4*02
86,ighv4-61*08,ighd2-8*02,ighj4*03
87,ighv2-70*10,ighd3-3*01,ighj4*02
88,ighv2-26*03,ighd2-8*01,ighj4*02
89,ighv1-24*01,ighd2-15*01,ighj4*03
90,ighv1-69-2*01,ighd3-10*02,ighj6*01
91,ighv1-69-2*01,ighd2-15*01,ighj4*03
92,ighv3-20*04,ighd5-18*01,ighj5*02
93,ighv3-9*01,ighd3-16*01,ighj4*02
94,ighv4-30-4*01,ighd6-19*01,ighj4*02
95,ighv1-46*04,ighd3-10*02,ighj3*02
96,ighv1-2*07,ighd1-1*01,ighj4*03
97,ighv1-45*01,ighd6-6*01,ighj3*02
98,ighv1-58*02,ighd6-6*01,ighj4*03
99,ighv3-43*02,ighd3-16*01,ighj4*02
100,ighv3-62*04,ighd6-19*01,ighj4*03
101,ighv2-5*01,ighd2-2*02,ighj4*02
102,ighv1-24*01,ighd3-22*01,ighj1*01
103,ighv1-2*06,ighd5-18*01,ighj6*04
104,ighv1-24*01,ighd5-5*01,ighj4*02
105,ighv2-5*02,ighd2-21*02,ighj6*01
106,ighv2-5*01,ighd2-15*01,ighj4*02
107,ighv1-69d*01,ighd3-9*01,ighj4*03
108,ighv2-70*20,ighd1-1*01,ighj5*01
109,ighv1-69d*01,ighd2-8*02,ighj4*03
110,ighv3-43d*04,ighd1-1*01,ighj5*02
111,ighv1-24*01,ighd6-13*01,ighj2*01
112,ighv3-64*03,ighd3-3*02,ighj4*03
113,ighv2-26*02,ighd2-8*02,ighj4*03
114,ighv1-3*03,ighd5-5*01,ighj4*03
115,ighv1-2*07,ighd4-4*01,ighj3*02
116,ighv1-46*04,ighd3-22*01,ighj4*03
117,ighv3-43d*03,ighd4-17*01,ighj4*03
118,ighv3-48*04,ighd5-18*01,ighj6*01
119,ighv4-38-2*02,ighd3-22*01,ighj4*03
120,ighv1-8*02,ighd3-3*02,ighj5*01
121,ighv3-23d*01,ighd3-10*01,ighj4*02
122,ighv1-3*03,ighd3-22*01,ighj3*02
123,ighv3-53*02,ighd1-1*01,ighj5*01
124,ighv3-43d*03,ighd2-21*02,ighj4*03
125,ighv2-5*02,ighd5-18*01,ighj4*03
126,ighv1-24*01,ighd6-6*01,ighj5*01
127,ighv2-70d*14,ighd3-10*01,ighj5*02
128,ighv2-70d*04,ighd3-22*01,ighj4*03
129,ighv3-66*01,ighd2-15*01,ighj4*03
130,ighv2-70d*14,ighd3-10*01,ighj2*01
131,ighv3-33*02,ighd3-16*02,ighj4*03
132,ighv2-5*02,ighd5-12*01,ighj4*03
133,ighv1-69d*01,ighd6-13*01,ighj4*03
134,ighv3-9*01,ighd6-6*01,ighj4*02
135,ighv1-2*07,ighd6-6*01,ighj4*03
136,ighv4-30-4*01,ighd6-6*01,ighj4*02
137,ighv1-46*04,ighd6-19*01,ighj5*01
138,ighv1-3*03,ighd6-25*01,ighj4*03
139,ighv1-24*01,ighd2-21*01,ighj5*02
140,ighv3-64d*09,ighd3-22*01,ighj4*02
141,ighv2-70d*04,ighd3-9*01,ighj6*01
142,ighv1-3*02,ighd2-21*01,ighj4*02
143,ighv4-31*02,ighd3-10*02,ighj3*02
144,ighv4-4*08,ighd4-17*01,ighj3*02
145,ighv1-46*03,ighd3-3*01,ighj4*02
146,ighv3-23*01,ighd2-8*01,ighj6*04
147,ighv3-49*05,ighd7-27*01,ighj6*01
148,ighv2-70d*04,ighd1-26*01,ighj4*03
149,ighv5-51*07,ighd2-8*02,ighj3*02
150,ighv1-24*01,ighd5-18*01,ighj6*04
151,ighv1-46*03,ighd6-19*01,ighj4*02
152,ighv1-2*06,ighd6-13*01,ighj4*02
153,ighv3-64*03,ighd3-10*02,ighj6*01
154,ighv3-35*02,ighd3-22*01,ighj6*04
155,ighv2-5*02,ighd3-10*02,ighj4*03
156,ighv3-43d*03,ighd5-5*01,ighj4*03
157,ighv2-70d*14,ighd2-8*01,ighj4*02
158,ighv3-21*02,ighd6-25*01,ighj3*01
159,ighv3-64d*09,ighd3-3*01,ighj4*02
160,ighv1-2*07,ighd1-20*01,ighj5*01
161,ighv1-3*02,ighd6-25*01,ighj4*02
162,ighv1-8*01,ighd5-18*01,ighj6*04
163,ighv3-64d*06,ighd6-13*01,ighj4*03
164,ighv4-31*10,ighd2-2*02,ighj4*02
165,ighv1-24*01,ighd3-16*01,ighj6*04
166,ighv1-69-2*01,ighd3-10*02,ighj4*03
167,ighv3-64*05,ighd4-17*01,ighj4*02
168,ighv1-69d*01,ighd3-22*01,ighj3*02
169,ighv1-2*06,ighd5-5*01,ighj4*02
170,ighv3-15*05,ighd6-13*01,ighj4*02
171,ighv1-2*06,ighd6-6*01,ighj5*02
172,ighv3-13*05,ighd2-8*02,ighj4*03
173,ighv2-5*01,ighd2-21*01,ighj6*04
174,ighv1-45*02,ighd1-1*01,ighj4*02
175,ighv1-69*09,ighd6-25*01,ighj5*02
176,ighv1-18*03,ighd6-6*01,ighj4*02
177,ighv3-30*03,ighd5-5*01,ighj4*02
178,ighv2-70d*04,ighd5-5*01,ighj6*01
179,ighv1-24*01,ighd3-22*01,ighj1*01
180,ighv1-69*14,ighd1-20*01,ighj6*01
181,ighv1-8*02,ighd6-19*01,ighj4*03
182,ighv1-18*04,ighd3-3*02,ighj4*03
183,ighv3-30-3*03,ighd6-25*01,ighj6*04
184,ighv3-23d*01,ighd1-1*01,ighj1*01
185,ighv1-69*14,ighd6-6*01,ighj4*03
186,ighv4-4*08,ighd3-10*02,ighj3*02
187,ighv3-43d*03,ighd3-3*02,ighj4*03
188,ighv2-26*02,ighd5-5*01,ighj5*01
189,ighv1-46*04,ighd4-4*01,ighj4*03
190,ighv2-5*02,ighd4-17*01,ighj6*01
191,ighv3-13*05,ighd2-2*01,ighj4*03
192,ighv2-5*01,ighd4-17*01,ighj6*04
193,ighv3-74*03,ighd3-3*01,ighj4*02
194,ighv1-69*14,ighd6-13*01,ighj4*03
195,ighv3-23*01,ighd1-1*01,ighj4*02
196,ighv1-24*01,ighd4-17*01,ighj4*03
197,ighv1-69-2*01,ighd3-10*01,ighj6*04
198,ighv1-2*07,ighd3-3*02,ighj4*03
199,ighv1-69-2*01,ighd3-3*02,ighj6*01
200,ighv1-46*03,ighd5-5*01,ighj4*02
201,ighv2-70d*04,ighd5-5*01,ighj4*03
202,ighv3-43d*04,ighd4-4*01,ighj4*02
203,ighv1-69*09,ighd1-26*01,ighj3*01
204,ighv1-45*01,ighd1-1*01,ighj4*03
205,ighv2-26*03,ighd1-26*01,ighj4*02
206,ighv1-69-2*01,ighd4-17*01,ighj6*01
207,ighv2-70d*04,ighd6-13*01,ighj4*03
208,ighv1-2*06,ighd3-22*01,ighj4*02
209,ighv1-45*02,ighd5-18*01,ighj6*04
210,ighv3-33*02,ighd1-7*01,ighj3*02
211,ighv5-10-1*03,ighd6-6*01,ighj3*01
212,ighv3-64*05,ighd5-5*01,ighj6*04
213,ighv4-30-2*03,ighd3-22*01,ighj4*02
214,ighv1-24*01,ighd1-26*01,ighj5*02
215,ighv3-72*01,ighd3-3*01,ighj3*01
216,ighv1-8*02,ighd3-22*01,ighj5*01
217,ighv3-64d*06,ighd1-20*01,ighj6*01
